#-iter  #-evals   temperature     position   energy
    0      1001         0.008{p1.left: -2545.578358,p1.right: 8826.468443,p2.left: -7545.880046,p2.right: 130746.431743,k1: 3,k2: 15,}      0.118629      0.118629
    1      2001    0.00797607{p1.left: -2545.578358,p1.right: 8826.468443,p2.left: -7545.880046,p2.right: 130746.431743,k1: 3,k2: 15,}      0.118629      0.118629
    2      3001    0.00795222{p1.left: -2545.578358,p1.right: 8826.468443,p2.left: -7545.880046,p2.right: 130746.431743,k1: 3,k2: 15,}      0.118629      0.118629
    3      4001    0.00792843{p1.left: -2545.578358,p1.right: 8826.468443,p2.left: -7545.880046,p2.right: 130746.431743,k1: 3,k2: 15,}      0.118629      0.118629
    4      5001    0.00790472{p1.left: -2545.578358,p1.right: 8826.468443,p2.left: -7545.880046,p2.right: 130746.431743,k1: 3,k2: 15,}      0.118629      0.118629
    5      6001    0.00788107{p1.left: -2545.578358,p1.right: 8826.468443,p2.left: -7545.880046,p2.right: 130746.431743,k1: 3,k2: 15,}      0.118629      0.118629
    6      7001     0.0078575{p1.left: -2545.578358,p1.right: 8826.468443,p2.left: -7545.880046,p2.right: 130746.431743,k1: 3,k2: 15,}      0.118629      0.118629
    7      8001      0.007834{p1.left: -2545.578358,p1.right: 8826.468443,p2.left: -7545.880046,p2.right: 130746.431743,k1: 3,k2: 15,}      0.118629      0.118629
    8      9001    0.00781057{p1.left: -10964.590897,p1.right: 7386.328826,p2.left: 7970.493429,p2.right: 86275.008731,k1: 28,k2: 2,}      0.121716      0.118629
    9     10001     0.0077872{p1.left: -10964.590897,p1.right: 7386.328826,p2.left: 7970.493429,p2.right: 86275.008731,k1: 28,k2: 2,}      0.121716      0.118629
   10     11001    0.00776391{p1.left: -7337.028443,p1.right: 99805.022741,p2.left: 110642.211148,p2.right: 133061.169339,k1: 4,k2: 3,}     0.0991226     0.0991226
   11     12001    0.00774069{p1.left: -7337.028443,p1.right: 99805.022741,p2.left: 110642.211148,p2.right: 133061.169339,k1: 4,k2: 3,}     0.0991226     0.0991226
   12     13001    0.00771754{p1.left: -7337.028443,p1.right: 99805.022741,p2.left: 110642.211148,p2.right: 133061.169339,k1: 4,k2: 3,}     0.0991226     0.0991226
   13     14001    0.00769445{p1.left: -7337.028443,p1.right: 99805.022741,p2.left: 110642.211148,p2.right: 133061.169339,k1: 4,k2: 3,}     0.0991226     0.0991226
   14     15001    0.00767144{p1.left: -7337.028443,p1.right: 99805.022741,p2.left: 110642.211148,p2.right: 133061.169339,k1: 4,k2: 3,}     0.0991226     0.0991226
   15     16001     0.0076485{p1.left: -7337.028443,p1.right: 99805.022741,p2.left: 110642.211148,p2.right: 133061.169339,k1: 4,k2: 3,}     0.0991226     0.0991226
   16     17001    0.00762562{p1.left: -7337.028443,p1.right: 99805.022741,p2.left: 110642.211148,p2.right: 133061.169339,k1: 4,k2: 3,}     0.0991226     0.0991226
   17     18001    0.00760281{p1.left: -7337.028443,p1.right: 99805.022741,p2.left: 110642.211148,p2.right: 133061.169339,k1: 4,k2: 3,}     0.0991226     0.0991226
   18     19001    0.00758007{p1.left: -7337.028443,p1.right: 99805.022741,p2.left: 110642.211148,p2.right: 133061.169339,k1: 4,k2: 3,}     0.0991226     0.0991226
   19     20001     0.0075574{p1.left: -7337.028443,p1.right: 99805.022741,p2.left: 110642.211148,p2.right: 133061.169339,k1: 4,k2: 3,}     0.0991226     0.0991226
   20     21001    0.00753479{p1.left: -7337.028443,p1.right: 99805.022741,p2.left: 110642.211148,p2.right: 133061.169339,k1: 4,k2: 3,}     0.0991226     0.0991226
   21     22001    0.00751226{p1.left: -7337.028443,p1.right: 99805.022741,p2.left: 110642.211148,p2.right: 133061.169339,k1: 4,k2: 3,}     0.0991226     0.0991226
   22     23001    0.00748979{p1.left: -7337.028443,p1.right: 99805.022741,p2.left: 110642.211148,p2.right: 133061.169339,k1: 4,k2: 3,}     0.0991226     0.0991226
   23     24001    0.00746738{p1.left: -7790.147121,p1.right: 81981.668403,p2.left: -1848.622731,p2.right: 43879.788831,k1: 6,k2: 1,}     0.0960543     0.0960543
   24     25001    0.00744505{p1.left: -7790.147121,p1.right: 81981.668403,p2.left: -1848.622731,p2.right: 43879.788831,k1: 6,k2: 1,}     0.0960543     0.0960543
   25     26001    0.00742278{p1.left: -7790.147121,p1.right: 81981.668403,p2.left: -1848.622731,p2.right: 43879.788831,k1: 6,k2: 1,}     0.0960543     0.0960543
   26     27001    0.00740058{p1.left: -7790.147121,p1.right: 81981.668403,p2.left: -1848.622731,p2.right: 43879.788831,k1: 6,k2: 1,}     0.0960543     0.0960543
   27     28001    0.00737844{p1.left: -12188.996139,p1.right: 8898.732816,p2.left: -8410.362430,p2.right: 88061.384801,k1: 16,k2: 1,}      0.101562     0.0960543
   28     29001    0.00735638{p1.left: -12188.996139,p1.right: 8898.732816,p2.left: -8410.362430,p2.right: 88061.384801,k1: 16,k2: 1,}      0.101562     0.0960543
   29     30001    0.00733437{p1.left: -12188.996139,p1.right: 8898.732816,p2.left: -8410.362430,p2.right: 88061.384801,k1: 16,k2: 1,}      0.101562     0.0960543
   30     31001    0.00731243{p1.left: -12188.996139,p1.right: 8898.732816,p2.left: -8410.362430,p2.right: 88061.384801,k1: 16,k2: 1,}      0.101562     0.0960543
   31     32001    0.00729056{p1.left: -12188.996139,p1.right: 8898.732816,p2.left: -8410.362430,p2.right: 88061.384801,k1: 16,k2: 1,}      0.101562     0.0960543
   32     33001    0.00726876{p1.left: -3151.624454,p1.right: 4429.668106,p2.left: 20636.408676,p2.right: 51471.923839,k1: 23,k2: 2,}     0.0813827     0.0813827
   33     34001    0.00724702{p1.left: -3151.624454,p1.right: 4429.668106,p2.left: 20636.408676,p2.right: 51471.923839,k1: 23,k2: 2,}     0.0813827     0.0813827
   34     35001    0.00722534{p1.left: -3151.624454,p1.right: 4429.668106,p2.left: 20636.408676,p2.right: 51471.923839,k1: 23,k2: 2,}     0.0813827     0.0813827
   35     36001    0.00720373{p1.left: -3151.624454,p1.right: 4429.668106,p2.left: 20636.408676,p2.right: 51471.923839,k1: 23,k2: 2,}     0.0813827     0.0813827
   36     37001    0.00718218{p1.left: -3151.624454,p1.right: 4429.668106,p2.left: 20636.408676,p2.right: 51471.923839,k1: 23,k2: 2,}     0.0813827     0.0813827
   37     38001     0.0071607{p1.left: -3151.624454,p1.right: 4429.668106,p2.left: 20636.408676,p2.right: 51471.923839,k1: 23,k2: 2,}     0.0813827     0.0813827
   38     39001    0.00713928{p1.left: -3151.624454,p1.right: 4429.668106,p2.left: 20636.408676,p2.right: 51471.923839,k1: 23,k2: 2,}     0.0813827     0.0813827
   39     40001    0.00711793{p1.left: -3151.624454,p1.right: 4429.668106,p2.left: 20636.408676,p2.right: 51471.923839,k1: 23,k2: 2,}     0.0813827     0.0813827
   40     41001    0.00709664{p1.left: -3151.624454,p1.right: 4429.668106,p2.left: 20636.408676,p2.right: 51471.923839,k1: 23,k2: 2,}     0.0813827     0.0813827
   41     42001    0.00707541{p1.left: -3151.624454,p1.right: 4429.668106,p2.left: 20636.408676,p2.right: 51471.923839,k1: 23,k2: 2,}     0.0813827     0.0813827
   42     43001    0.00705425{p1.left: -3151.624454,p1.right: 4429.668106,p2.left: 20636.408676,p2.right: 51471.923839,k1: 23,k2: 2,}     0.0813827     0.0813827
   43     44001    0.00703315{p1.left: -3151.624454,p1.right: 4429.668106,p2.left: 20636.408676,p2.right: 51471.923839,k1: 23,k2: 2,}     0.0813827     0.0813827
   44     45001    0.00701211{p1.left: -3151.624454,p1.right: 4429.668106,p2.left: 20636.408676,p2.right: 51471.923839,k1: 23,k2: 2,}     0.0813827     0.0813827
   45     46001    0.00699114{p1.left: -3151.624454,p1.right: 4429.668106,p2.left: 20636.408676,p2.right: 51471.923839,k1: 23,k2: 2,}     0.0813827     0.0813827
   46     47001    0.00697023{p1.left: -3151.624454,p1.right: 4429.668106,p2.left: 20636.408676,p2.right: 51471.923839,k1: 23,k2: 2,}     0.0813827     0.0813827
   47     48001    0.00694938{p1.left: -3151.624454,p1.right: 4429.668106,p2.left: 20636.408676,p2.right: 51471.923839,k1: 23,k2: 2,}     0.0813827     0.0813827
   48     49001     0.0069286{p1.left: -3151.624454,p1.right: 4429.668106,p2.left: 20636.408676,p2.right: 51471.923839,k1: 23,k2: 2,}     0.0813827     0.0813827
   49     50001    0.00690787{p1.left: -3151.624454,p1.right: 4429.668106,p2.left: 20636.408676,p2.right: 51471.923839,k1: 23,k2: 2,}     0.0813827     0.0813827
 
